user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
224,app,promo,iOS,8,Tue,0.37,78,10,active,0
225,app,promo,iOS,8,Sat,0.63,79,3,new,1
226,app,promo,iOS,16,Sat,0.46,6,11,new,0
227,web,informative,iOS,18,Sun,0.61,52,22,active,0
228,app,informative,Android,16,Wed,0.71,2,6,active,1
229,web,reminder,Android,21,Tue,0.04,93,27,inactive,0
230,web,informative,iOS,15,Tue,0.26,39,7,new,0
231,app,reminder,iOS,11,Sun,0.17,32,9,new,0
232,app,reminder,Android,2,Wed,0.19,51,22,new,0
233,app,reminder,iOS,13,Thu,0.5,69,28,active,0
234,app,reminder,iOS,16,Sat,0.74,86,23,new,0
235,app,reminder,iOS,21,Fri,0.27,92,12,active,0
236,app,promo,iOS,15,Mon,0.82,32,23,inactive,0
237,app,informative,iOS,20,Sat,0.89,93,13,active,1
238,app,promo,iOS,11,Mon,0.35,3,15,inactive,0
239,web,reminder,Android,23,Wed,0.68,62,6,inactive,1
240,app,informative,Android,1,Mon,0.12,95,15,active,0
241,app,promo,Android,7,Thu,0.74,13,16,inactive,0
242,web,promo,Android,11,Tue,0.17,70,19,active,0
243,app,reminder,iOS,20,Fri,0.69,21,18,new,0
244,web,promo,iOS,15,Mon,0.42,61,11,active,0
245,web,promo,Android,7,Mon,0.93,14,8,inactive,1
246,app,promo,Android,15,Wed,0.46,89,27,inactive,0
247,web,promo,Android,9,Wed,0.03,71,25,new,0
248,web,promo,Android,19,Sun,0.48,22,7,active,1
249,web,reminder,Android,14,Tue,0.8,32,8,new,1
250,web,reminder,iOS,3,Fri,0.65,41,4,inactive,1
251,app,promo,iOS,14,Sun,0.97,32,20,active,1
252,web,reminder,Android,3,Sun,0.84,42,9,inactive,1
253,app,reminder,Android,10,Mon,0.53,52,4,active,1
254,web,informative,iOS,5,Tue,0.21,94,13,new,0
255,web,promo,iOS,3,Fri,0.0,81,17,new,0
256,web,reminder,iOS,8,Tue,0.98,54,28,inactive,1
257,web,reminder,Android,8,Mon,0.94,62,6,new,1
258,app,promo,iOS,2,Wed,0.27,85,7,new,0
259,app,informative,Android,22,Wed,0.64,90,4,inactive,1
260,web,promo,Android,4,Wed,0.73,43,23,inactive,0
261,web,informative,iOS,14,Thu,0.58,3,5,inactive,1
262,app,promo,iOS,8,Tue,0.84,38,19,active,1
263,web,promo,iOS,1,Mon,0.08,81,22,inactive,0
264,web,promo,Android,2,Tue,0.9,39,23,active,1
265,web,promo,iOS,20,Wed,0.39,70,8,inactive,0
266,app,informative,iOS,11,Sat,0.48,85,20,active,0
267,app,informative,Android,15,Sat,0.44,45,8,inactive,0
268,app,reminder,iOS,4,Tue,0.53,46,7,active,1
269,web,promo,iOS,9,Fri,0.6,13,16,new,0
270,web,informative,Android,14,Sat,0.71,52,23,inactive,0
271,app,informative,Android,13,Sat,0.52,9,7,inactive,1
272,app,informative,Android,13,Tue,0.68,57,28,active,0
273,app,promo,Android,22,Sun,0.34,69,22,new,0
274,app,reminder,Android,12,Thu,0.94,43,0,new,1
275,web,informative,iOS,15,Thu,0.06,7,21,active,0
276,app,promo,iOS,7,Wed,0.55,44,17,inactive,0
277,web,informative,Android,7,Mon,0.09,44,14,new,0
278,app,informative,iOS,16,Sun,0.44,95,21,inactive,0
279,web,reminder,iOS,16,Fri,0.26,68,26,active,0
280,app,informative,Android,2,Sun,0.94,77,15,inactive,1
281,app,informative,Android,0,Mon,0.01,44,1,new,0
282,app,promo,Android,16,Mon,0.39,79,12,active,0
283,app,promo,iOS,23,Fri,0.78,40,1,new,1
284,web,reminder,Android,15,Thu,0.19,77,13,inactive,0
285,app,promo,iOS,16,Sun,0.82,43,6,inactive,1
286,web,promo,iOS,1,Sat,0.86,62,10,active,1
287,web,reminder,iOS,13,Wed,0.71,43,14,new,0
288,web,informative,iOS,6,Tue,0.21,90,25,new,0
289,web,reminder,Android,18,Thu,0.27,19,16,new,0
290,app,promo,iOS,0,Wed,0.17,49,20,active,0
291,web,reminder,Android,16,Sat,0.18,65,16,inactive,0
292,web,informative,iOS,9,Thu,0.04,77,14,inactive,0
293,web,reminder,Android,5,Sun,0.86,25,15,inactive,0
294,app,promo,Android,6,Fri,0.53,84,8,new,1
295,app,promo,Android,5,Mon,0.33,41,20,active,0
296,app,reminder,iOS,4,Fri,0.29,23,20,new,0
297,app,informative,iOS,1,Sat,0.54,58,19,active,0
298,web,reminder,iOS,17,Tue,0.33,88,18,new,0
299,web,informative,Android,23,Fri,0.86,43,23,active,1
300,app,informative,iOS,16,Sat,0.21,40,22,new,0
301,web,reminder,iOS,23,Mon,0.88,30,8,new,1
302,web,informative,iOS,22,Thu,0.66,34,5,active,1
303,web,promo,Android,6,Wed,0.96,10,0,inactive,1
304,app,reminder,iOS,20,Sat,0.02,60,4,inactive,0
305,app,informative,iOS,18,Sat,0.06,1,4,active,0
306,web,promo,Android,6,Sun,0.5,12,22,active,0
307,app,reminder,Android,22,Tue,0.91,46,25,inactive,1
308,app,promo,Android,6,Thu,0.73,93,0,new,1
309,app,promo,Android,15,Sat,0.62,75,0,inactive,1
310,app,promo,Android,11,Sat,0.03,17,28,active,0
311,app,informative,Android,14,Wed,0.35,84,21,new,0
312,web,reminder,iOS,14,Mon,0.35,58,5,active,0
313,app,reminder,iOS,10,Fri,0.54,38,8,inactive,1
314,web,informative,Android,1,Sun,0.26,6,18,new,0
315,web,reminder,iOS,2,Thu,0.27,62,27,inactive,0
316,app,promo,Android,18,Wed,0.62,84,4,inactive,1
317,web,reminder,iOS,19,Wed,0.94,74,20,inactive,1
318,web,informative,Android,14,Fri,0.66,10,16,new,0
319,web,promo,Android,15,Thu,0.67,95,21,inactive,0
320,app,informative,iOS,0,Thu,0.99,26,19,new,1
321,app,promo,iOS,14,Sun,0.15,58,11,inactive,0
322,web,promo,iOS,11,Mon,0.03,17,5,inactive,0
323,app,reminder,iOS,6,Thu,0.75,53,28,active,1
324,app,promo,iOS,6,Sun,0.44,78,12,inactive,0
325,app,informative,iOS,10,Sat,0.43,5,23,new,0
326,app,reminder,iOS,19,Fri,0.23,67,7,active,0
327,web,informative,iOS,10,Thu,0.51,20,28,new,0
328,web,promo,Android,16,Mon,0.44,51,2,inactive,0
329,app,informative,iOS,2,Wed,0.35,46,24,active,0
330,app,informative,iOS,15,Sat,0.44,79,10,active,0
331,web,promo,Android,4,Thu,0.38,67,28,active,0
332,web,reminder,Android,1,Fri,0.94,3,19,new,1
333,app,informative,Android,22,Thu,0.98,23,0,active,1
334,web,promo,Android,6,Sun,0.84,9,24,active,1
335,app,reminder,iOS,9,Tue,0.99,11,13,new,1
336,app,reminder,iOS,4,Mon,0.27,47,28,new,0
337,web,reminder,Android,14,Wed,0.84,49,20,new,0
338,web,informative,Android,11,Tue,0.41,44,28,inactive,0
339,app,informative,iOS,9,Fri,0.75,13,23,new,0
340,app,informative,iOS,21,Thu,0.2,8,12,new,0
341,web,reminder,iOS,16,Mon,0.81,63,14,active,1
342,app,informative,iOS,19,Sat,0.08,22,22,inactive,0
343,web,promo,Android,19,Sun,0.27,38,20,active,0
344,app,informative,iOS,10,Sun,0.82,27,7,new,1
345,web,informative,Android,7,Thu,0.75,26,14,new,0
346,web,reminder,Android,14,Thu,0.5,23,12,active,0
347,web,informative,Android,1,Thu,0.67,95,0,inactive,1
348,app,promo,iOS,16,Sat,0.19,93,10,inactive,0
349,app,reminder,Android,22,Thu,0.67,65,19,active,1
350,web,promo,iOS,5,Mon,0.01,74,14,new,0
351,app,reminder,Android,20,Sat,0.83,47,20,inactive,1
352,web,reminder,iOS,12,Sat,0.52,61,3,inactive,1
353,web,informative,Android,7,Tue,0.94,46,5,active,1
354,app,promo,Android,10,Fri,0.48,4,24,inactive,0
355,app,reminder,iOS,14,Sat,0.43,31,11,new,0
356,web,informative,iOS,12,Tue,0.45,4,0,active,1
357,app,reminder,Android,17,Mon,0.36,29,9,inactive,0
358,app,reminder,Android,17,Fri,0.17,73,26,new,0
359,web,reminder,iOS,16,Sat,0.84,79,17,new,1
360,web,reminder,Android,21,Wed,0.39,44,0,active,1
361,app,reminder,iOS,12,Tue,0.53,3,6,active,1
362,web,reminder,iOS,2,Mon,0.02,59,29,new,0
363,web,informative,Android,20,Mon,0.06,79,1,new,0
364,app,reminder,iOS,23,Mon,0.6,53,24,inactive,0
365,web,promo,Android,6,Sun,0.88,11,7,inactive,1
366,web,informative,iOS,11,Fri,0.49,6,25,inactive,0
367,app,promo,iOS,3,Thu,0.16,47,0,inactive,0
368,app,reminder,Android,23,Wed,0.12,7,18,inactive,0
369,web,promo,iOS,10,Fri,0.9,68,5,active,1
370,web,reminder,Android,13,Fri,0.7,85,10,inactive,0
371,app,reminder,iOS,17,Sat,0.97,1,18,inactive,1
372,app,informative,iOS,6,Sun,0.08,56,24,inactive,0
373,app,informative,iOS,4,Tue,0.9,87,27,new,1
374,app,reminder,iOS,15,Wed,0.85,77,9,inactive,1
375,web,informative,Android,10,Mon,0.89,43,15,active,1
376,app,promo,iOS,21,Fri,0.01,28,15,new,0
377,app,informative,iOS,2,Wed,0.74,29,9,new,1
378,web,informative,iOS,15,Tue,0.55,18,17,inactive,0
379,app,promo,Android,10,Thu,0.57,87,21,new,0
380,web,informative,Android,9,Wed,0.47,92,17,inactive,0
381,app,reminder,Android,22,Sun,0.74,73,2,inactive,1
382,app,promo,Android,22,Sun,1.0,62,11,inactive,1
383,app,reminder,iOS,1,Mon,0.71,6,9,active,1
384,web,promo,iOS,15,Sun,0.68,16,27,new,0
385,web,reminder,iOS,16,Fri,0.65,1,15,new,0
386,app,reminder,Android,9,Thu,0.7,22,24,new,0
387,web,informative,Android,17,Tue,0.34,46,8,new,0
388,web,reminder,iOS,11,Mon,0.32,62,29,new,0
389,web,informative,iOS,7,Thu,0.78,23,17,inactive,1
390,web,promo,iOS,2,Sat,0.05,21,12,inactive,0
391,web,reminder,Android,19,Sat,0.76,51,23,inactive,0
392,web,reminder,iOS,23,Tue,0.81,95,13,active,1
393,app,promo,iOS,2,Mon,0.52,38,18,active,0
394,app,promo,Android,5,Sun,0.91,28,13,active,1
395,web,reminder,Android,1,Fri,0.47,44,1,active,1
396,app,promo,iOS,2,Tue,0.18,91,10,new,0
397,app,informative,Android,16,Sun,0.36,39,25,active,0
398,app,promo,iOS,8,Thu,0.91,42,7,new,1
399,app,promo,iOS,3,Mon,0.99,42,2,new,1
400,web,reminder,iOS,21,Sat,0.42,60,14,new,0
401,app,informative,iOS,22,Sat,0.17,57,12,inactive,0
402,app,promo,Android,1,Wed,0.29,77,7,inactive,0
403,web,informative,Android,23,Mon,0.55,96,12,new,0
404,web,informative,Android,8,Thu,0.57,7,15,active,0
405,app,informative,iOS,13,Thu,0.63,51,21,new,0
406,app,reminder,iOS,10,Wed,0.84,97,0,inactive,1
407,app,promo,iOS,1,Sun,0.71,77,29,active,1
408,app,reminder,Android,20,Thu,0.26,32,1,inactive,0
409,app,promo,Android,1,Sun,0.4,7,12,active,0
410,app,promo,iOS,4,Sun,0.84,76,28,inactive,1
411,web,reminder,Android,6,Mon,0.63,40,13,new,0
412,app,informative,Android,21,Sun,0.17,15,1,inactive,0
413,app,informative,Android,3,Sat,0.33,59,15,active,0
414,web,promo,Android,13,Tue,0.79,85,13,inactive,1
415,web,reminder,iOS,1,Sat,0.17,12,6,active,0
416,web,informative,Android,22,Sun,0.69,77,21,inactive,0
417,web,informative,iOS,11,Sat,0.56,42,13,inactive,0
418,app,promo,Android,9,Mon,0.15,39,17,new,0
419,app,promo,iOS,0,Sun,0.69,63,16,active,1
420,app,reminder,iOS,18,Thu,0.14,2,4,active,0
421,app,promo,Android,22,Wed,0.4,29,10,new,0
422,app,informative,iOS,15,Wed,0.31,61,17,inactive,0
423,app,informative,iOS,14,Fri,0.69,29,15,active,1
424,web,informative,Android,13,Wed,0.78,38,25,active,1
425,app,informative,iOS,8,Wed,0.17,7,9,active,0
426,web,reminder,Android,20,Thu,0.81,30,5,new,1
427,web,reminder,iOS,22,Tue,0.01,87,13,new,0
428,app,promo,Android,14,Tue,0.53,92,1,active,1
429,web,promo,Android,6,Thu,0.52,56,28,inactive,0
430,app,promo,Android,3,Wed,0.62,87,26,inactive,0
431,web,reminder,Android,20,Mon,0.24,36,8,new,0
432,app,informative,Android,17,Sat,0.01,42,27,inactive,0
433,web,promo,iOS,7,Sun,0.45,93,12,new,0
434,app,informative,iOS,11,Sat,0.07,4,20,active,0
435,app,promo,Android,14,Tue,0.89,84,22,active,1
436,app,promo,iOS,14,Thu,0.17,5,19,active,0
437,app,promo,iOS,16,Mon,0.43,46,11,new,0
438,app,promo,iOS,1,Wed,0.43,75,1,inactive,1
439,web,promo,Android,11,Thu,0.55,2,2,active,1
440,web,informative,Android,2,Tue,0.78,54,12,inactive,0
441,web,promo,iOS,6,Sun,0.47,88,20,inactive,0
442,app,informative,Android,5,Mon,0.03,59,0,new,0
443,web,reminder,Android,13,Mon,0.77,33,27,new,0
444,app,promo,iOS,22,Tue,0.08,22,19,inactive,0
445,app,informative,Android,4,Mon,0.64,47,28,inactive,0
446,web,reminder,Android,3,Sat,0.8,6,3,active,1
447,web,reminder,Android,14,Sun,0.28,24,17,active,0
448,app,reminder,Android,6,Tue,0.45,93,24,active,0
449,web,informative,Android,2,Sat,0.01,49,12,inactive,0
450,app,promo,iOS,12,Thu,0.8,96,5,new,1
451,app,promo,Android,9,Fri,0.7,94,24,inactive,0
452,app,informative,Android,22,Sun,0.23,51,5,active,0
453,app,promo,iOS,1,Wed,0.39,41,14,active,0
454,app,informative,iOS,11,Thu,0.7,67,17,new,0
455,web,promo,Android,23,Sat,0.36,89,16,inactive,0
456,web,reminder,iOS,21,Wed,0.16,92,13,active,0
457,app,promo,Android,11,Wed,0.52,79,3,new,1
458,app,informative,iOS,18,Sat,0.72,81,28,active,0
459,web,informative,Android,18,Sat,0.32,2,0,new,0
460,web,reminder,iOS,20,Sun,0.12,91,7,inactive,0
461,app,informative,Android,2,Tue,0.83,78,10,new,1
462,web,promo,iOS,5,Fri,0.25,43,12,inactive,0
463,app,promo,Android,1,Sun,0.51,32,16,inactive,0
464,web,reminder,Android,23,Sat,0.69,12,20,active,0
465,app,informative,Android,12,Wed,0.32,23,13,inactive,0
466,web,reminder,iOS,8,Wed,0.65,16,24,active,0
467,app,promo,iOS,12,Thu,0.46,44,16,active,0
468,web,reminder,Android,22,Fri,0.57,2,19,inactive,0
469,web,informative,Android,13,Fri,0.59,7,23,new,0
470,app,reminder,Android,18,Wed,0.82,21,23,inactive,0
471,web,informative,Android,10,Fri,0.66,58,0,inactive,1
